------------------------------------------------------------
Starting time:  19-Apr-2018   15:50:52
Serial: 0x49467b0c (ID: 0x007b4649)
Current Status: AUX1 AUX3
------------------------------------------------------------
timestamp	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	Status/control	Status 2
1524124312.39	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124313.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124314.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124315.38	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124316.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124317.36	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124318.37	112	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124319.39	112	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124320.35	112	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124321.37	112	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124322.38	112	3	4	4	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124323.35	112	3	4	4	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124324.36	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124325.37	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124326.39	112	4	5	5	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124327.35	112	4	5	5	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124328.37	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124329.38	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124330.35	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124331.36	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124332.37	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124333.39	112	4	6	6	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124334.35	112	4	7	7	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124335.37	112	4	7	7	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124336.38	112	4	8	8	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124337.35	112	4	8	8	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124338.36	112	4	9	9	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124339.37	112	4	9	9	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124340.39	112	4	10	10	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124341.35	112	4	10	10	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124342.37	112	4	13	13	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124343.38	112	4	13	13	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124344.35	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124345.36	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124346.37	112	4	15	15	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
